Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,database,module,overlap.n
regulation of mitotic cell cycle (GO:0007346),15/178,0.00450494923032705,0.133307744966237,0,0,2.27695004382121,12.3014017111996,PSMD14;USP2;ANAPC10;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,15
regulation of transcription by RNA polymerase I (GO:0006356),4/18,0.00464061345157952,0.134431244407861,0,0,7.02432778489117,37.7410719520227,RASL11A;ERBB2;POLR2K;ATF4,GO_BP,turquoise,4
tRNA metabolic process (GO:0006399),4/18,0.00464061345157952,0.134431244407861,0,0,7.02432778489117,37.7410719520227,AARS1;YARS2;FARS2;THG1L,GO_BP,turquoise,4
protein stabilization (GO:0050821),15/179,0.00474420634011553,0.136000581749979,0,0,2.26294741843522,12.1086494768805,CCT3;HSP90AB1;PEX19;USP2;MUL1;MT3;EFNA1;DVL1;TCP1;GET1;CCT8;COA8;CCT5;HSPA1B;HSPA1A,GO_BP,turquoise,15
regulation of proteasomal protein catabolic process (GO:0061136),7/54,0.00496857010311342,0.138721755394663,0,0,3.66941967948367,19.4648887105127,PSMC5;HSP90AB1;DESI1;PSMD14;PSME3;GLMN;PSMC2,GO_BP,turquoise,7
striated muscle contraction (GO:0006941),7/54,0.00496857010311342,0.138721755394663,0,0,3.66941967948367,19.4648887105127,KCNH2;MYL4;MYLK2;SMPX;TPM1;TNNI1;MYH14,GO_BP,turquoise,7
heart contraction (GO:0060047),6/41,0.00499035384595627,0.138721755394663,0,0,4.22079589216945,22.3712669304823,KCNH2;MYL4;MYLK2;ACTC1;TPM1;TNNI1,GO_BP,turquoise,6
regulation of cell growth (GO:0001558),17/217,0.00543647648292024,0.149611832809965,0,0,2.10452473958333,10.9743054961825,DCUN1D5;EI24;HPN;OSGIN1;MUL1;CGRRF1;MT3;AGT;SUPV3L1;ERBB2;TP53TG5;CHPT1;APBB1;RBBP7;BAP1;HSPA1B;HSPA1A,GO_BP,turquoise,17
regulation of mitochondrial membrane permeability (GO:0046902),4/19,0.0056979572202338,0.153733120294935,0,0,6.55569782330346,33.8775358003205,HEBP2;CAMK2A;MUL1;BAK1,GO_BP,turquoise,4
fatty acid transmembrane transport (GO:1902001),4/19,0.0056979572202338,0.153733120294935,0,0,6.55569782330346,33.8775358003205,CPT2;SLC25A20;CPT1B;ABCD1,GO_BP,turquoise,4
regulation of endoplasmic reticulum unfolded protein response (GO:1900101),3/10,0.00587694016652895,0.154031803221787,0,0,10.5268542199488,54.0734924224715,COPS5;HSPA5;BAK1,GO_BP,turquoise,3
regulation of microtubule nucleation (GO:0010968),3/10,0.00587694016652895,0.154031803221787,0,0,10.5268542199488,54.0734924224715,GIT1;HSPA1B;HSPA1A,GO_BP,turquoise,3
regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045898),3/10,0.00587694016652895,0.154031803221787,0,0,10.5268542199488,54.0734924224715,PSMC5;PSMC4;PSMC2,GO_BP,turquoise,3
tRNA aminoacylation for protein translation (GO:0006418),6/43,0.00633367987489812,0.164436669959619,0,0,3.99222842868543,20.2081567777777,AARS1;MARS1;YARS1;YARS2;FARS2;FARSB,GO_BP,turquoise,6
antigen receptor-mediated signaling pathway (GO:0050851),15/185,0.0064054344108136,0.164745378491206,0,0,2.18239113827349,11.0224032818055,STOML2;EIF2B2;PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,15
purine nucleoside bisphosphate metabolic process (GO:0034032),5/31,0.0066915433204026,0.168946121263743,0,0,4.7310157790927,23.6877737192518,ACOT2;ACOT1;DBI;MLYCD;ACSF2,GO_BP,turquoise,5
ribonucleoside bisphosphate metabolic process (GO:0033875),5/31,0.0066915433204026,0.168946121263743,0,0,4.7310157790927,23.6877737192518,ACOT2;ACOT1;DBI;MLYCD;ACSF2,GO_BP,turquoise,5
regulation of protein modification by small protein conjugation or removal (GO:1903320),4/20,0.00690447622820643,0.171181248468685,0,0,6.14564660691421,30.5781892174132,HSP90AB1;DCUN1D5;HSPA1B;HSPA1A,GO_BP,turquoise,4
mitochondrial cytochrome c oxidase assembly (GO:0033617),4/20,0.00690447622820643,0.171181248468685,0,0,6.14564660691421,30.5781892174132,COX19;COX14;TIMM21;COA8,GO_BP,turquoise,4
muscle organ development (GO:0007517),7/58,0.00737444962806637,0.181200762289631,0,0,3.38091637683351,16.5994001076062,TEAD4;ITGA7;ZBTB42;ANKRD2;ITGB1BP2;EMD;MAPK12,GO_BP,turquoise,7
cellular response to topologically incorrect protein (GO:0035967),5/32,0.00767963797294727,0.184575522393405,0,0,4.55555555555556,22.181833082976,PACRG;HSPA5;BAK1;HSPA1B;HSPA1A,GO_BP,turquoise,5
alcohol catabolic process (GO:0046164),3/11,0.00784714248547543,0.184575522393405,0,0,9.2105179028133,44.6489602650028,CEL;CYP46A1;MT3,GO_BP,turquoise,3
regulation of cardiac muscle cell apoptotic process (GO:0010665),3/11,0.00784714248547543,0.184575522393405,0,0,9.2105179028133,44.6489602650028,HAND2;CAMK2A;NKX2-5,GO_BP,turquoise,3
carnitine shuttle (GO:0006853),3/11,0.00784714248547543,0.184575522393405,0,0,9.2105179028133,44.6489602650028,CPT2;SLC25A20;CPT1B,GO_BP,turquoise,3
PERK-mediated unfolded protein response (GO:0036499),3/11,0.00784714248547543,0.184575522393405,0,0,9.2105179028133,44.6489602650028,HSPA5;DDIT3;ATF4,GO_BP,turquoise,3
mitochondrial translational elongation (GO:0070125),9/89,0.00816470344271418,0.186514023255393,0,0,2.77408182989691,13.3376047726495,MRPS25;MRPS22;MRPL18;MRPS23;MRPS31;MRPS18A;MRPL9;MRPS6;MRPS18C,GO_BP,turquoise,9
mitochondrial translational termination (GO:0070126),9/89,0.00816470344271418,0.186514023255393,0,0,2.77408182989691,13.3376047726495,MRPS25;MRPS22;MRPL18;MRPS23;MRPS31;MRPS18A;MRPL9;MRPS6;MRPS18C,GO_BP,turquoise,9
cellular response to interleukin-1 (GO:0071347),13/155,0.00817359956300878,0.186514023255393,0,0,2.26181310661899,10.8721870222698,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,13
mitochondrial translation (GO:0032543),10/105,0.00825141856007224,0.186514023255393,0,0,2.59694397283531,12.4585014880398,MRPS25;MRPL18;MRPS22;MRPS23;MRPS31;MRPS18A;GATB;MRPL9;MRPS6;MRPS18C,GO_BP,turquoise,10
intracellular lipid transport (GO:0032365),4/21,0.00826842690303706,0.186514023255393,0,0,5.78383671010017,27.7352958289581,CPT2;SLC25A20;CPT1B;ABCD1,GO_BP,turquoise,4
mitochondrial respiratory chain complex assembly (GO:0033108),9/90,0.00876550377679306,0.196119238973451,0,0,2.73969072164948,12.9777266941678,CHCHD4;COX19;TIMMDC1;TMEM126A;NDUFC1;COX14;TIMM21;NDUFAF1;COA8,GO_BP,turquoise,9
chaperone-mediated protein complex assembly (GO:0051131),4/22,0.00979749899761561,0.217441268076114,0,0,5.46222791293214,25.2662350876264,HSP90AB1;NDUFAF1;HOPX;HSPA1A,GO_BP,turquoise,4
cardiac muscle contraction (GO:0060048),5/34,0.00995135607117607,0.219089055263012,0,0,4.24093722369584,19.5509175865702,KCNH2;MYL4;MYLK2;TPM1;TNNI1,GO_BP,turquoise,5
cellular response to oxidative stress (GO:0034599),11/125,0.0102190825540852,0.223197739593987,0,0,2.3812389500884,10.9144050794223,GPX3;TPM1;KEAP1;MPV17;ANKRD2;MT3;PRDX6;SIRT2;HSPA1B;ATF4;HSPA1A,GO_BP,turquoise,11
translation (GO:0006412),16/214,0.0105192679328809,0.223316978557733,0,0,1.99834495803286,9.101555358579,AARS1;MRPL18;MARS1;MRPS18A;GATB;RPS4Y1;YARS1;MRPS6;YARS2;RPL3L;MRPS18C;FARS2;COPS5;TNIP1;MRPL9;FARSB,GO_BP,turquoise,16
purine ribonucleotide metabolic process (GO:0009150),8/77,0.010528627796711,0.223316978557733,0,0,2.85691903083207,13.0094301289215,TPST2;HINT1;ACOT2;ACOT1;DBI;MLYCD;ACSF2;RAN,GO_BP,turquoise,8
phosphatidylcholine metabolic process (GO:0046470),8/77,0.010528627796711,0.223316978557733,0,0,2.85691903083207,13.0094301289215,ABHD4;SLC44A2;LPCAT4;PEMT;DBI;PLAAT3;CHPT1;PLA2G5,GO_BP,turquoise,8
glucose metabolic process (GO:0006006),7/62,0.0105491305277999,0.223316978557733,0,0,3.13437719093246,14.266781761223,TKTL1;KCNJ11;MDH2;ALDOC;ENO3;PGM1;ATF4,GO_BP,turquoise,7
myelination (GO:0042552),6/48,0.0108139268390293,0.227175012679456,0,0,3.51604621309371,15.9168615172914,EIF2B2;LGI4;GPC1;MAL;ABCD1;SIRT2,GO_BP,turquoise,6
negative regulation of reactive oxygen species metabolic process (GO:2000378),4/23,0.0114987901380577,0.237929853082216,0,0,5.17447267336074,23.1066773430093,COA8;MT3;ABCD1;SIRT2,GO_BP,turquoise,4
positive regulation of transcription by RNA polymerase I (GO:0045943),4/23,0.0114987901380577,0.237929853082216,0,0,5.17447267336074,23.1066773430093,MARS1;RASL11A;ERBB2;ATF4,GO_BP,turquoise,4
RNA catabolic process (GO:0006401),6/49,0.0119248307610858,0.244903986973941,0,0,3.43409857599188,15.2100773853406,SUPV3L1;EXOSC7;RIDA;LSM6;HSPA1B;HSPA1A,GO_BP,turquoise,6
cellular response to heat (GO:0034605),5/36,0.0126456039440691,0.257782978178356,0,0,3.96691480562448,17.3371855105765,VCP;HSP90AB1;RBBP7;HSPA1B;HSPA1A,GO_BP,turquoise,5
ribosomal subunit export from nucleus (GO:0000054),3/13,0.012828922520288,0.259597020410534,0,0,7.36764705882353,32.0938617009038,LTV1;RRS1;RAN,GO_BP,turquoise,3
translational termination (GO:0006415),9/96,0.0130994899066022,0.263137198707804,0,0,2.54994667614646,11.0544829006898,MRPS25;MRPS22;MRPL18;MRPS23;MRPS31;MRPS18A;MRPL9;MRPS6;MRPS18C,GO_BP,turquoise,9
regulation of IRE1-mediated unfolded protein response (GO:1903894),3/14,0.01585860217481,0.303075508229701,0,0,6.69751220646361,27.7547799289547,COPS5;HSPA5;BAK1,GO_BP,turquoise,3
negative regulation of fibroblast growth factor receptor signaling pathway (GO:0040037),3/14,0.01585860217481,0.303075508229701,0,0,6.69751220646361,27.7547799289547,CREB3L1;GPC1;FUZ,GO_BP,turquoise,3
phosphatidylethanolamine acyl-chain remodeling (GO:0036152),4/26,0.0176977234283669,0.335264555551971,0,0,4.46816435804912,18.026001560217,ABHD4;LPCAT4;PLAAT3;PLA2G5,GO_BP,turquoise,4
regulation of cellular response to stress (GO:0080135),10/118,0.017786564357045,0.335264555551971,0,0,2.28279569892473,9.19809591626398,DNAJC2;HSP90AB1;AMFR;CAMK2A;FKBP4;ABCD1;HSPA1B;ATF4;MANF;HSPA1A,GO_BP,turquoise,10
acetyl-CoA metabolic process (GO:0006084),3/15,0.0192549296968238,0.355634674668854,0,0,6.13906649616368,24.2492399910204,PMVK;MLYCD;ACSS1,GO_BP,turquoise,3
integrated stress response signaling (GO:0140467),3/15,0.0192549296968238,0.355634674668854,0,0,6.13906649616368,24.2492399910204,HSPA5;DDIT3;ATF4,GO_BP,turquoise,3
nitric oxide biosynthetic process (GO:0006809),3/15,0.0192549296968238,0.355634674668854,0,0,6.13906649616368,24.2492399910204,CYB5B;CYB5R3;SPR,GO_BP,turquoise,3
cellular response to tumor necrosis factor (GO:0071356),14/194,0.0211125787279988,0.363314152233858,0,0,1.92023346303502,7.40804230816551,PSMD14;YBX3;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,14
translational elongation (GO:0006414),9/104,0.0211229158275499,0.363314152233858,0,0,2.33423765599566,9.00408079384919,MRPS25;MRPL18;MRPS22;MRPS23;MRPS31;MRPS18A;MRPL9;MRPS6;MRPS18C,GO_BP,turquoise,9
regulation of mitochondrial membrane potential (GO:0051881),5/41,0.0214306123661538,0.364055834763305,0,0,3.4150641025641,13.1238690074586,HEBP2;STOML2;VCP;BAK1;ABCD1,GO_BP,turquoise,5
gluconeogenesis (GO:0006094),5/41,0.0214306123661538,0.364055834763305,0,0,3.4150641025641,13.1238690074586,MDH2;ALDOC;ENO3;PGM1;ATF4,GO_BP,turquoise,5
glycerophospholipid biosynthetic process (GO:0046474),13/177,0.0225951631391737,0.381483981343595,0,0,1.95614021230886,7.41380938506908,ABHD4;SLC44A2;MTMR14;PLA2G5;AGPAT1;ETNPPL;PTDSS1;ETNK2;LPCAT4;INPP5J;PEMT;CHPT1;PI4KB,GO_BP,turquoise,13
regulation of muscle contraction (GO:0006937),4/28,0.0227936448862807,0.382488480042954,0,0,4.09539052496799,15.4857917253685,MYLK2;TPM1;TNNI1;MYL9,GO_BP,turquoise,4
nitric oxide metabolic process (GO:0046209),3/16,0.0230204293983664,0.383952858813966,0,0,5.66653551052528,21.3706202892414,CYB5B;CYB5R3;SPR,GO_BP,turquoise,3
protein K48-linked ubiquitination (GO:0070936),6/57,0.0238240383462831,0.394962370656452,0,0,2.89420826096806,10.8158304836946,UBE2D4;UBE2R2;UBE2D2;UBE2E3;AMFR;UBE2T,GO_BP,turquoise,6
lipid catabolic process (GO:0016042),4/29,0.0256425135654553,0.416988557370717,0,0,3.93137003841229,14.4025883624101,PLAAT3;CEL;MT3;SIRT2,GO_BP,turquoise,4
protein K11-linked ubiquitination (GO:0070979),4/29,0.0256425135654553,0.416988557370717,0,0,3.93137003841229,14.4025883624101,UBE2D4;UBE2E3;UBE2T;ANAPC10,GO_BP,turquoise,4
RNA modification (GO:0009451),6/58,0.0257220704383814,0.416988557370717,0,0,2.8384022909055,10.3897044459186,AARS1;TFB1M;MRM2;THG1L;FTSJ3;JMJD6,GO_BP,turquoise,6
substantia nigra development (GO:0021762),5/43,0.0258327916629244,0.416988557370717,0,0,3.23498650472335,11.8274684488271,HSPA5;MAPKAP1;CALM3;NDRG2;SIRT2,GO_BP,turquoise,5
negative regulation of cell growth (GO:0030308),10/126,0.0267090560409818,0.416988557370717,0,0,2.12447163515017,7.69643512609735,EI24;OSGIN1;MUL1;TP53TG5;APBB1;RBBP7;CGRRF1;MT3;HSPA1B;HSPA1A,GO_BP,turquoise,10
negative regulation of growth (GO:0045926),10/126,0.0267090560409818,0.416988557370717,0,0,2.12447163515017,7.69643512609735,EI24;OSGIN1;MUL1;TP53TG5;APBB1;RBBP7;CGRRF1;MT3;HSPA1B;HSPA1A,GO_BP,turquoise,10
copper ion homeostasis (GO:0055070),3/17,0.0271554606561044,0.416988557370717,0,0,5.26150895140665,18.9739332166405,COX19;ABCB6;CUTC,GO_BP,turquoise,3
muscle tissue morphogenesis (GO:0060415),3/17,0.0271554606561044,0.416988557370717,0,0,5.26150895140665,18.9739332166405,MYLK2;ACTC1;NKX2-5,GO_BP,turquoise,3
hexose biosynthetic process (GO:0019319),5/44,0.0282349759606915,0.416988557370717,0,0,3.15187376725838,11.2433445207879,MDH2;ALDOC;ENO3;PGM1;ATF4,GO_BP,turquoise,5
intracellular protein transmembrane transport (GO:0065002),5/44,0.0282349759606915,0.416988557370717,0,0,3.15187376725838,11.2433445207879,CHCHD4;HSPA5;TIMM21;DNAJC15;TOMM40L,GO_BP,turquoise,5
mRNA catabolic process (GO:0006402),5/44,0.0282349759606915,0.416988557370717,0,0,3.15187376725838,11.2433445207879,SUPV3L1;RIDA;LSM6;HSPA1B;HSPA1A,GO_BP,turquoise,5
phosphatidylcholine acyl-chain remodeling (GO:0036151),4/30,0.0286958339094802,0.420058164462178,0,0,3.77996651236088,13.4226736602146,LPCAT4;DBI;PLAAT3;PLA2G5,GO_BP,turquoise,4
MAPK cascade (GO:0000165),19/303,0.030778073311094,0.448154802921327,0,0,1.65340804618836,5.75543528196387,PSMD14;CAMK2A;MT3;MAPK12;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PEA15;PSMC2;ERBB2;MARK3,GO_BP,turquoise,19
regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901028),3/18,0.0316584382317505,0.453310202687427,0,0,4.91048593350384,16.954683032856,MUL1;BAK1;HSPA1A,GO_BP,turquoise,3
mitochondrial fusion (GO:0008053),3/18,0.0316584382317505,0.453310202687427,0,0,4.91048593350384,16.954683032856,STOML2;CHCHD3;THG1L,GO_BP,turquoise,3
'de novo' posttranslational protein folding (GO:0051084),4/31,0.0319557337650294,0.453310202687427,0,0,3.63977806231327,12.5332250784099,CHCHD4;HSPA5;HSPA1B;HSPA1A,GO_BP,turquoise,4
negative regulation of response to biotic stimulus (GO:0002832),4/31,0.0319557337650294,0.453310202687427,0,0,3.63977806231327,12.5332250784099,ILRUN;MUL1;TRAFD1;SIRT2,GO_BP,turquoise,4
phosphatidylethanolamine metabolic process (GO:0046337),4/31,0.0319557337650294,0.453310202687427,0,0,3.63977806231327,12.5332250784099,ABHD4;ETNK2;PLAAT3;ETNPPL,GO_BP,turquoise,4
regulation of cellular protein localization (GO:1903827),5/46,0.0334520086269845,0.472102193545955,0,0,2.99781113195747,10.1854933435564,VCP;HSP90AB1;GPC1;SUMO3;DVL1,GO_BP,turquoise,5
protein transmembrane import into intracellular organelle (GO:0044743),4/32,0.0354237524031052,0.489375847784108,0,0,3.50960307298335,11.7233823349598,CHCHD4;TIMM21;DNAJC15;TOMM40L,GO_BP,turquoise,4
cardiac muscle tissue morphogenesis (GO:0055008),4/32,0.0354237524031052,0.489375847784108,0,0,3.50960307298335,11.7233823349598,MYLK2;ACTC1;TPM1;NKX2-5,GO_BP,turquoise,4
long-chain fatty acid transport (GO:0015909),4/32,0.0354237524031052,0.489375847784108,0,0,3.50960307298335,11.7233823349598,CPT2;SLC25A20;ABCD1;CPT1B,GO_BP,turquoise,4
protein import into mitochondrial matrix (GO:0030150),3/19,0.0365260364803289,0.489375847784108,0,0,4.60334079283888,15.2358148666276,TIMM21;DNAJC15;TOMM40L,GO_BP,turquoise,3
cellular amide metabolic process (GO:0043603),9/115,0.0372152647364475,0.492386579589921,0,0,2.09080188679245,6.88090482084997,ABHD4;FPGS;ACOT2;ACOT1;DBI;PLAAT3;MLYCD;ACSF2;ATF4,GO_BP,turquoise,9
very long-chain fatty acid metabolic process (GO:0000038),4/33,0.0391008572374478,0.512407424368839,0,0,3.38840566912447,10.9838927099939,TECR;ACOT2;ACOT1;ABCD1,GO_BP,turquoise,4
positive regulation of telomere maintenance via telomerase (GO:0032212),4/33,0.0391008572374478,0.512407424368839,0,0,3.38840566912447,10.9838927099939,CCT3;TCP1;CCT8;CCT5,GO_BP,turquoise,4
cellular modified amino acid biosynthetic process (GO:0042398),3/20,0.0417533785762445,0.540537148725591,0,0,4.33233037460509,13.7593725584823,PTDSS1;FPGS;CHAC2,GO_BP,turquoise,3
positive regulation of cyclin-dependent protein kinase activity (GO:1904031),3/20,0.0417533785762445,0.540537148725591,0,0,4.33233037460509,13.7593725584823,CCND3;HSP90AB1;MAPRE3,GO_BP,turquoise,3
protein autoubiquitination (GO:0051865),6/65,0.0418366325140083,0.540537148725591,0,0,2.50072887883205,7.93727081726206,RNF10;SH3RF2;LRSAM1;UBE2D2;AMFR;UBE2T,GO_BP,turquoise,6
phosphatidylserine metabolic process (GO:0006658),4/34,0.0429874623056252,0.552810730210657,0,0,3.2752880921895,10.3068297867815,PTDSS1;LPCAT4;PLAAT3;PLA2G5,GO_BP,turquoise,4
mitochondrion organization (GO:0007005),12/175,0.0434866713280754,0.556629392999365,0,0,1.81449059119517,5.68897379144418,CHCHD4;SUPV3L1;STOML2;CHCHD3;TMEM11;MUL1;MYH14;MPV17;TFB1M;TMEM70;THG1L;RAB5IF,GO_BP,turquoise,12
cellular response to chemical stress (GO:0062197),8/101,0.0451054557286345,0.564056653776404,0,0,2.11699256860547,6.56003510455777,GPX3;KEAP1;MT3;PRDX6;SIRT2;HSPA1B;ATF4;HSPA1A,GO_BP,turquoise,8
regulation of trans-synaptic signaling (GO:0099177),4/35,0.0470834482610718,0.573334732807388,0,0,3.16946842344389,9.68536859910245,NTF4;PSMC5;GRIK5;CEL,GO_BP,turquoise,4
rRNA modification (GO:0000154),3/21,0.0473342116446029,0.573849120907256,0,0,4.09143222506394,12.4810038272896,TFB1M;MRM2;FTSJ3,GO_BP,turquoise,3
positive regulation of protein localization to nucleus (GO:1900182),6/68,0.0503275783581425,0.607462700182492,0,0,2.37935318232639,7.11236746888224,CCT3;TCP1;TESK1;CCT8;CCT5;RAN,GO_BP,turquoise,6
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332),4/36,0.0513881836104079,0.614870788242793,0,0,3.07026248399488,9.11360450664505,HINT1;PPP1R13B;RPS27L;TMEM109,GO_BP,turquoise,4
positive regulation of telomere maintenance via telomere lengthening (GO:1904358),4/36,0.0513881836104079,0.614870788242793,0,0,3.07026248399488,9.11360450664505,CCT3;TCP1;CCT8;CCT5,GO_BP,turquoise,4
regulation of telomere maintenance via telomerase (GO:0032210),5/52,0.0525065451862663,0.618457640482456,0,0,2.61429350791053,7.70384572053442,CCT3;TCP1;CCT8;SMG5;CCT5,GO_BP,turquoise,5
regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902235),3/22,0.0532610686025952,0.618457640482456,0,0,3.87589177547449,11.3662450111228,CREB3L1;DDIT3;HSPA1A,GO_BP,turquoise,3
rRNA methylation (GO:0031167),3/22,0.0532610686025952,0.618457640482456,0,0,3.87589177547449,11.3662450111228,TFB1M;MRM2;FTSJ3,GO_BP,turquoise,3
"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)",3/22,0.0532610686025952,0.618457640482456,0,0,3.87589177547449,11.3662450111228,EXOSC7;RRS1;FTSJ3,GO_BP,turquoise,3
tetrapyrrole metabolic process (GO:0033013),3/22,0.0532610686025952,0.618457640482456,0,0,3.87589177547449,11.3662450111228,ABCB6;CTRB2;CTRB1,GO_BP,turquoise,3
phosphatidylserine acyl-chain remodeling (GO:0036150),3/22,0.0532610686025952,0.618457640482456,0,0,3.87589177547449,11.3662450111228,LPCAT4;PLAAT3;PLA2G5,GO_BP,turquoise,3
positive regulation of peptidase activity (GO:0010952),3/22,0.0532610686025952,0.618457640482456,0,0,3.87589177547449,11.3662450111228,VCP;PSME3;MAPK12,GO_BP,turquoise,3
modification-dependent protein catabolic process (GO:0019941),13/201,0.0539802111037772,0.619840266341133,0,0,1.70427047734539,4.97500030473268,UBE2D4;PSMD14;SIAH2;UBE2D2;AMFR;ADRM1;KEAP1;ANAPC10;RNF167;UBE2R2;PSMC2;UFD1;SPSB4,GO_BP,turquoise,13
peptide biosynthetic process (GO:0043043),11/162,0.0547658996240111,0.619840266341133,0,0,1.79427417560792,5.21180585621986,COPS5;TNIP1;MRPL18;MRPS18A;MRPL9;RPS4Y1;YARS2;MRPS6;RPL3L;MRPS18C;FARSB,GO_BP,turquoise,11
fatty acid metabolic process (GO:0006631),9/124,0.0554332982619263,0.619840266341133,0,0,1.92626624831914,5.57186923519428,CPT2;PON2;ACOT2;ACOT1;ECHDC3;MLYCD;CEL;CPT1B;ACSF2,GO_BP,turquoise,9
anterograde axonal transport (GO:0008089),4/37,0.0559005468958745,0.619840266341133,0,0,2.9770690257246,8.58640626323925,BLOC1S2;HSPB1;KIF1C;AP3S1,GO_BP,turquoise,4
snRNA transcription by RNA polymerase II (GO:0042795),6/70,0.0565333963850379,0.619840266341133,0,0,2.30475770218229,6.62139309217584,INTS12;SNAPC1;NABP2;INTS9;GTF2E2;POLR2K,GO_BP,turquoise,6
sterol metabolic process (GO:0016125),6/70,0.0565333963850379,0.619840266341133,0,0,2.30475770218229,6.62139309217584,NSDHL;PMVK;SCAP;DHCR7;CYP46A1;TM7SF2,GO_BP,turquoise,6
platelet degranulation (GO:0002576),9/125,0.0577597877282711,0.630773554873818,0,0,1.90956052257376,5.44504014420286,LGALS3BP;SCCPDH;ITGA2B;OLA1;QSOX1;TUBA4A;KNG1;VTI1B;MANF,GO_BP,turquoise,9
snRNA transcription (GO:0009301),6/71,0.0598011340987521,0.650213603975533,0,0,2.2691813962674,6.39167279686276,INTS12;SNAPC1;NABP2;INTS9;GTF2E2;POLR2K,GO_BP,turquoise,6
regulation of cyclin-dependent protein kinase activity (GO:1904029),5/54,0.0600124474599511,0.650213603975533,0,0,2.50732600732601,7.05361774936968,CCND3;BLM;HSP90AB1;MNAT1;CCNJL,GO_BP,turquoise,5
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888),12/185,0.0612820395049159,0.661365383205994,0,0,1.70870940484113,4.77117539957222,DCTN5;ACTR1A;LMAN2L;COL7A1;TRAPPC12;COG2;COPZ2;TMED1;CD59;ANK1;CNIH4;VTI1B,GO_BP,turquoise,12
positive regulation of apoptotic process (GO:0043065),18/310,0.0641518347170376,0.684586441288304,0,0,1.52084263542355,4.17699823399161,MTCH1;MTCH2;FAF1;PDCD5;ARHGEF16;TPD52L1;SIRT2;KNG1;GADD45G;ADAMTSL4;DDIT3;SAP18;APBB1;BAK1;ZNF622;CTSD;CTNNBL1;ATF4,GO_BP,turquoise,18
cellular protein metabolic process (GO:0044267),23/417,0.0644087359836759,0.684586441288304,0,0,1.44184752921113,3.95427550449038,STOML2;MRPL18;UBE2D2;SIAH2;SFTPC;MRPS18A;RPS4Y1;MRPS6;YARS2;RPL3L;KNG1;GNMT;MRPS18C;COPS5;TNIP1;MMP15;STC2;QSOX1;MRPL9;BAP1;FARSB;MSRB1;PNPLA2,GO_BP,turquoise,23
cellular protein modification process (GO:0006464),50/1025,0.0663182357770544,0.684586441288304,0,0,1.27263212977499,3.45302050250244,PIGS;PIGT;UBE2D2;KEAP1;DUSP13;KBTBD13;PSMD6;PSMD7;PSMD2;QSOX1;LMTK3;CEL;SIRT2;DDOST;CTDNEP1;PSMA6;PTP4A2;PSMA3;PSMA1;MMP15;PSME3;PSMD14;CAMK2A;PPM1J;ASB12;ART3;KNG1;PORCN;COP1;PSMB5;PSMB2;GRK4;STC2;ERBB2;RBBP7;MARK3;FN3K;CDK18;MT3;FBXO31;GNMT;COPS4;PSMC5;COPS5;STK24;PSMC4;PSMC2;BAP1;SPSB4;PNPLA2,GO_BP,turquoise,50
regulation of lipid metabolic process (GO:0019216),7/92,0.0697483074732232,0.710916082097445,0,0,2.02495085437774,5.39216493347261,FDPS;SMARCD3;CARM1;PMVK;DHCR7;TM7SF2;FDFT1,GO_BP,turquoise,7
negative regulation of ERBB signaling pathway (GO:1901185),4/40,0.0706653268628331,0.717605090503751,0,0,2.72855313700384,7.2301207917913,SH3KBP1;ERBB2;EPS15L1;EPN1,GO_BP,turquoise,4
regulation of reactive oxygen species metabolic process (GO:2000377),5/57,0.072352923466784,0.72553409450099,0,0,2.36230276134122,6.2038781403757,CBR1;MPV17;MT3;SIRT2;AGT,GO_BP,turquoise,5
regulation of heart contraction (GO:0008016),7/93,0.0730078535931822,0.72553409450099,0,0,2.00130029293956,5.23777963172054,DES;KCNJ11;FXYD3;TPM1;CALM3;NKX2-5;AGT,GO_BP,turquoise,7
